temp,tempmax,precip,Conditions,label
71,76,0.0, ,Mild
68,71,0.01,Rain,Mild
65,72,0.0, ,Mild
54,61,1.33,"Rain , Thunderstorm",Wet
54,65,0.0, ,Mild
54,69,0.0, ,Mild
53,64,0.0, ,Mild
58,73,0.0, ,Mild
67,78,0.0, ,Mild
70,77,0.0, ,Mild
70,81,0.0, ,Mild
64,78,0.0, ,Mild
73,83,0.0, ,Mild
61,76,0.0, ,Mild
68,79,0.0, ,Mild
68,77,0.0, ,Mild
70,76,0.01,Rain,Mild
76,83,0.22,"Rain , Thunderstorm",Wet
65,71,2.18,"Rain , Thunderstorm",Wet
61,64,0.4,Rain,Wet
65,71,0.36,"Rain , Thunderstorm",Wet
66,74,0.0,Rain,Mild
71,85,0.0, ,Mild
73,92,0.0, ,Mild
80,92,0.0, ,Hot
71,81,0.0, ,Mild
73,79,0.02,Rain,Mild
68,79,0.07,"Rain , Thunderstorm",Mild
55,62,0.0, ,Mild
53,64,0.0, ,Mild
52,68,0.0, ,Mild
62,78,0.0, ,Mild
74,82,0.05, ,Mild
59,70,0.15,"Rain , Thunderstorm",Wet
57,73,0.0, ,Mild
61,74,0.0, ,Mild
65,74,0.0,Rain,Mild
62,75,0.0, ,Mild
64,69,0.02,Rain,Mild
73,77,0.03,Rain,Mild
76,86,0.0, ,Mild
59,66,0.34,"Rain , Thunderstorm",Wet
60,74,0.0, ,Mild
62,79,0.0, ,Mild
68,83,0.0, ,Mild
68,82,0.0, ,Mild
69,82,0.0, ,Mild
67,85,0.0, ,Mild
68,80,0.0, ,Mild
68,77,0.02,"Rain , Thunderstorm",Mild
72,79,0.0, ,Mild
80,89,0.0, ,Hot
68,73,1.19,"Rain , Thunderstorm",Wet
65,72,0.4,Rain,Wet
66,77,0.0,Fog,Mild
67,79,0.0, ,Mild
70,75,0.25,Rain,Wet
71,78,1.34,"Fog , Rain , Thunderstorm",Wet
69,75,1.13,"Rain , Thunderstorm",Wet
72,81,0.0, ,Mild
71,81,0.58,"Rain , Thunderstorm",Wet
72,83,0.41,"Rain , Thunderstorm",Wet
72,84,0.0, ,Mild
69,83,0.0, ,Mild
71,79,0.0, ,Mild
79,88,0.0,Thunderstorm,Mild
79,86,0.0, ,Mild
76,90,0.54,"Rain , Thunderstorm",Wet
75,87,0.0, ,Mild
80,84,0.0,Rain,Hot
76,86,0.92,"Fog , Rain , Thunderstorm",Wet
72,78,0.0, ,Mild
